cell_name,wbbt_id,wbbt_label,confidence,note
CA1,WBbt:0003809,CA1,high,WBBT label match (Cook 2019 male-specific/new cell)
CA2,WBbt:0003808,CA2,high,WBBT label match (Cook 2019 male-specific/new cell)
CA3,WBbt:0003807,CA3,high,WBBT label match (Cook 2019 male-specific/new cell)
CA4,WBbt:0003806,CA4,high,WBBT label match (Cook 2019 male-specific/new cell)
CA5,WBbt:0003805,CA5,high,WBBT label match (Cook 2019 male-specific/new cell)
CA6,WBbt:0003804,CA6,high,WBBT label match (Cook 2019 male-specific/new cell)
CA7,WBbt:0003803,CA7,high,WBBT label match (Cook 2019 male-specific/new cell)
CA8,WBbt:0006853,CA8,high,WBBT label match (Cook 2019 male-specific/new cell)
CA9,WBbt:0006854,CA9,high,WBBT label match (Cook 2019 male-specific/new cell)
CEMDL,WBbt:0004945,CEMDL,high,WBBT label match (Cook 2019 male-specific/new cell)
CEMDR,WBbt:0004943,CEMDR,high,WBBT label match (Cook 2019 male-specific/new cell)
CEMVL,WBbt:0004941,CEMVL,high,WBBT label match (Cook 2019 male-specific/new cell)
CEMVR,WBbt:0004939,CEMVR,high,WBBT label match (Cook 2019 male-specific/new cell)
CP1,WBbt:0004901,CP1,high,WBBT label match (Cook 2019 male-specific/new cell)
CP2,WBbt:0004899,CP2,high,WBBT label match (Cook 2019 male-specific/new cell)
CP3,WBbt:0004897,CP3,high,WBBT label match (Cook 2019 male-specific/new cell)
CP4,WBbt:0004895,CP4,high,WBBT label match (Cook 2019 male-specific/new cell)
CP5,WBbt:0004893,CP5,high,WBBT label match (Cook 2019 male-specific/new cell)
CP6,WBbt:0004891,CP6,high,WBBT label match (Cook 2019 male-specific/new cell)
CP7,WBbt:0004889,CP7,high,WBBT label match (Cook 2019 male-specific/new cell)
CP8,WBbt:0004888,CP8,high,WBBT label match (Cook 2019 male-specific/new cell)
CP9,WBbt:0004887,CP9,high,WBBT label match (Cook 2019 male-specific/new cell)
DVE,WBbt:0004820,DVE,high,WBBT label match (Cook 2019 male-specific/new cell)
DVF,WBbt:0004819,DVF,high,WBBT label match (Cook 2019 male-specific/new cell)
DX1,WBbt:0007842,DX1,high,WBBT label match (Cook 2019 male-specific/new cell)
DX2,WBbt:0007843,DX2,high,WBBT label match (Cook 2019 male-specific/new cell)
DX3,WBbt:0007844,DX3,high,WBBT label match (Cook 2019 male-specific/new cell)
EF1,WBbt:0007838,EF1,high,WBBT label match (Cook 2019 male-specific/new cell)
EF2,WBbt:0007839,EF2,high,WBBT label match (Cook 2019 male-specific/new cell)
EF3,WBbt:0007840,EF3,high,WBBT label match (Cook 2019 male-specific/new cell)
